score,id,namePTBR,nameEN,equipment,candidato_base,arquivos,veredito,quem,quando
0.67,rosca-concentrada-em-pe,Rosca concentrada em pé,Standing Concentration Curl,Halteres,concentration-curl,concentration-curl-peak.webp + concentration-curl-start.webp,,,
0.67,flexao-de-perna-em-pe-na-maquina,Flexão de perna em pé na máquina,Standing Leg Curl,Máquina,leg-curl,leg-curl-peak.webp + leg-curl-start.webp,,,
0.67,terra-sumo-com-elasticos,Terra sumô com elásticos,Sumo Deadlift with Bands,Barra,sumo-deadlift,sumo-deadlift-peak.webp + sumo-deadlift-start.webp,,,
0.67,terra-sumo-com-correntes,Terra sumô com correntes,Sumo Deadlift with Chains,Barra,sumo-deadlift,sumo-deadlift-peak.webp + sumo-deadlift-start.webp,,,
0.67,remada-alta-com-elastico,Remada alta com elástico,Upright Row - With Bands,Elástico,upright-row,upright-row-peak.webp + upright-row-start.webp,,,
0.67,agachamento-com-salto-e-carga,Agachamento com salto e carga,Weighted Jump Squat,Barra,jump-squat,jump-squat-peak.webp + jump-squat-start.webp,,,
0.67,rosca-zottman-no-banco-scott,Rosca Zottman no banco scott,Zottman Preacher Curl,Halteres,preacher-curl,preacher-curl-peak.webp + preacher-curl-start.webp,,,
0.6,supino-guilhotina-com-barra,Supino Guilhotina com Barra,Barbell Guillotine Bench Press,Barra,decline-bench-press-barbell,decline-bench-press-barbell-peak.webp + decline-bench-press-barbell-start.webp,,,
0.6,clean-unilateral-com-kettlebell,Clean unilateral com kettlebell,One-Arm Kettlebell Clean,Kettlebell,one-arm-kettlebell-row,one-arm-kettlebell-row-peak.webp + one-arm-kettlebell-row-start.webp,,,
0.6,jerk-unilateral-com-kettlebell,Jerk unilateral com kettlebell,One-Arm Kettlebell Jerk,Kettlebell,one-arm-kettlebell-row,one-arm-kettlebell-row-peak.webp + one-arm-kettlebell-row-start.webp,,,
0.6,snatch-unilateral-com-kettlebell,Snatch unilateral com kettlebell,One-Arm Kettlebell Snatch,Kettlebell,one-arm-kettlebell-row,one-arm-kettlebell-row-peak.webp + one-arm-kettlebell-row-start.webp,,,
0.6,abdominal-infra-sentado-no-banco,Abdominal infra sentado no banco,Seated Flat Bench Leg Pull-In,Peso corporal,bench-leg-pull-in,bench-leg-pull-in-peak.webp + bench-leg-pull-in-start.webp,,,
0.6,leg-press-no-smith,Leg press no Smith,Smith Machine Leg Press,Máquina,smith-machine-bench-press,smith-machine-bench-press-peak.webp + smith-machine-bench-press-start.webp,,,
0.57,desenvolvimento-lateral-unilateral-com-kettlebell,Desenvolvimento lateral unilateral com kettlebell,One-Arm Kettlebell Military Press To The Side,Kettlebell,one-arm-kettlebell-floor-press,one-arm-kettlebell-floor-press-peak.webp + one-arm-kettlebell-floor-press-start.webp,,,
0.5,desenvolvimento-com-elastico,Desenvolvimento com elástico,Shoulder Press - With Bands,Elástico,dumbbell-shoulder-press,dumbbell-shoulder-press-peak.webp + dumbbell-shoulder-press-start.webp,,,
0.5,inclinacao-lateral-com-barra,Inclinação Lateral com Barra,Barbell Side Bend,Barra,dumbbell-side-bend,dumbbell-side-bend-peak.webp + dumbbell-side-bend-start.webp,,,
0.5,arrasto-de-treno-em-posicao-de-urso,Arrasto de Trenó em Posição de Urso,Bear Crawl Sled Drags,Peso corporal,bear-crawl,bear-crawl-peak.webp + bear-crawl-start.webp,,,
0.5,agachamento-na-caixa,Agachamento na Caixa,Box Squat,Barra,squat,squat-peak.webp + squat-start.webp,,,
0.5,rotacao-interna-de-ombro-na-polia,Rotação Interna de Ombro na Polia,Cable Internal Rotation,Cabo/Polia,cable-external-rotation,cable-external-rotation-peak.webp + cable-external-rotation-start.webp,,,
0.5,remada-alta-na-polia-com-corda,Remada Alta na Polia com Corda,Cable Rope Rear-Delt Rows,Cabo/Polia,barbell-rear-delt-row,barbell-rear-delt-row-peak.webp + barbell-rear-delt-row-start.webp,,,
0.5,desenvolvimento-na-polia,Desenvolvimento na Polia,Cable Shoulder Press,Cabo/Polia,cable-chest-press,cable-chest-press-peak.webp + cable-chest-press-start.webp,,,
0.5,panturrilha-no-leg-press,Panturrilha no Leg Press,Calf Press On The Leg Press Machine,Máquina,leg-press,leg-press-peak.webp + leg-press-start.webp,,,
0.5,panturrilha-com-elastico,Panturrilha com Elástico,Calf Raises - With Bands,Elástico,barbell-calf-raise,barbell-calf-raise-peak.webp + barbell-calf-raise-start.webp,,,
0.5,deadlift-de-carro,Deadlift de Carro,Car Deadlift,Peso corporal,deadlift,deadlift-peak.webp + deadlift-start.webp,,,
0.5,agachamento-com-banco,Agachamento com Banco,Chair Squat,Máquina,squat,squat-peak.webp + squat-start.webp,,,
0.5,levantamento-terra-para-clean,Levantamento Terra para Clean,Clean Deadlift,Barra,clean,clean-peak.webp + clean-start.webp,,,
0.5,puxada-para-clean,Puxada para Clean,Clean Pull,Barra,clean,clean-peak.webp + clean-start.webp,,,
0.5,clean-e-press,Clean e Press,Clean and Press,Barra,clean,clean-peak.webp + clean-start.webp,,,
0.5,levantamento-terra-com-elastico,Levantamento Terra com Elástico,Deadlift with Bands,Barra,deadlift,deadlift-peak.webp + deadlift-start.webp,,,
0.5,levantamento-terra-com-correntes,Levantamento Terra com Correntes,Deadlift with Chains,Barra,deadlift,deadlift-peak.webp + deadlift-start.webp,,,
0.5,windmill-com-dois-kettlebells,Windmill com Dois Kettlebells,Double Kettlebell Windmill,Kettlebell,double-kettlebell-clean,double-kettlebell-clean-peak.webp + double-kettlebell-clean-start.webp,,,
0.5,arremesso-com-halteres,Arremesso com Halteres,Dumbbell Clean,Halteres,clean,clean-peak.webp + clean-start.webp,,,
0.5,box-jump-sentado-com-halteres,Box Jump sentado com halteres,Dumbbell Seated Box Jump,Halteres,box-jump,box-jump-peak.webp + box-jump-start.webp,,,
0.5,elevacao-de-panturrilha-unilateral-sentado-com-halteres,Elevação de panturrilha unilateral sentado com halteres,Dumbbell Seated One-Leg Calf Raise,Halteres,dumbbell-calf-raise,dumbbell-calf-raise-peak.webp + dumbbell-calf-raise-start.webp,,,
0.5,rotacao-externa-com-elastico,Rotação Externa com Elástico,External Rotation with Band,Elástico,cable-external-rotation,cable-external-rotation-peak.webp + cable-external-rotation-start.webp,,,
0.5,crucifixo-no-cabo-banco-reto,Crucifixo no Cabo (Banco Reto),Flat Bench Cable Flyes,Cabo/Polia,cable-fly,cable-fly-peak.webp + cable-fly-start.webp,,,
0.5,agachamento-frankenstein,Agachamento Frankenstein,Frankenstein Squat,Barra,squat,squat-peak.webp + squat-start.webp,,,
0.5,agachamento-frontal-no-banco,Agachamento Frontal no Banco,Front Barbell Squat To A Bench,Barra,front-squat,front-squat-peak.webp + front-squat-start.webp,,,
0.5,elevacao-de-perna-frontal,Elevação de Perna Frontal,Front Leg Raises,Peso corporal,barbell-front-raise,barbell-front-raise-peak.webp + barbell-front-raise-start.webp,,,
0.5,elevacao-frontal-com-anilhas,Elevação Frontal com Anilhas,Front Plate Raise,Peso corporal,barbell-front-raise,barbell-front-raise-peak.webp + barbell-front-raise-start.webp,,,
0.5,elevacao-frontal-e-pullover,Elevação Frontal e Pullover,Front Raise And Pullover,Barra,barbell-front-raise,barbell-front-raise-peak.webp + barbell-front-raise-start.webp,,,
0.5,agachamento-frontal-com-dois-kettlebells,Agachamento Frontal com Dois Kettlebells,Front Squats With Two Kettlebells,Kettlebell,front-squat,front-squat-peak.webp + front-squat-start.webp,,,
0.5,bom-dia-na-gaiola,Bom Dia na Gaiola,Good Morning off Pins,Barra,good-morning,good-morning-peak.webp + good-morning-start.webp,,,
0.5,arranco-suspenso,Arranco Suspenso,Hang Snatch,Barra,snatch,snatch-peak.webp + snatch-start.webp,,,
0.5,bom-dia-com-barra-suspensa,Bom Dia com Barra Suspensa,Hanging Bar Good Morning,Barra,good-morning,good-morning-peak.webp + good-morning-start.webp,,,
0.5,abdominal-janda,Abdominal Janda,Janda Sit-Up,Peso corporal,jackknife-sit-up,jackknife-sit-up-peak.webp + jackknife-sit-up-start.webp,,,
0.5,agachamento-jefferson,Agachamento Jefferson,Jefferson Squats,Barra,squat,squat-peak.webp + squat-start.webp,,,
0.5,clean-com-kettlebell-do-chao,Clean com Kettlebell do Chão,Kettlebell Dead Clean,Kettlebell,double-kettlebell-clean,double-kettlebell-clean-peak.webp + double-kettlebell-clean-start.webp,,,
0.5,desenvolvimento-sentado-com-kettlebell,Desenvolvimento Sentado com Kettlebell,Kettlebell Seated Press,Kettlebell,seated-db-press,seated-db-press-peak.webp + seated-db-press-start.webp,,,
0.5,agachamento-ajoelhado,Agachamento Ajoelhado,Kneeling Squat,Barra,squat,squat-peak.webp + squat-start.webp,,,
0.5,supino-no-chao-com-perna-cruzada,Supino no Chão com Perna Cruzada,Leg-Over Floor Press,Kettlebell,floor-press,floor-press-peak.webp + floor-press-start.webp,,,
0.5,levantamento-terra-na-maquina,Levantamento Terra na Máquina,Leverage Deadlift,Máquina,deadlift,deadlift-peak.webp + deadlift-start.webp,,,
0.5,rosca-na-polia-alta-deitado-pegada-fechada,Rosca na Polia Alta Deitado (Pegada Fechada),Lying Close-Grip Bar Curl On High Pulley,Cabo/Polia,close-grip-ez-bar-curl,close-grip-ez-bar-curl-peak.webp + close-grip-ez-bar-curl-start.webp,,,
0.5,clean-e-jerk-unilateral-com-kettlebell,Clean e jerk unilateral com kettlebell,One-Arm Kettlebell Clean and Jerk,Kettlebell,one-arm-kettlebell-row,one-arm-kettlebell-row-peak.webp + one-arm-kettlebell-row-start.webp,,,
0.5,split-jerk-unilateral-com-kettlebell,Split jerk unilateral com kettlebell,One-Arm Kettlebell Split Jerk,Kettlebell,one-arm-kettlebell-row,one-arm-kettlebell-row-peak.webp + one-arm-kettlebell-row-start.webp,,,
0.5,split-snatch-unilateral-com-kettlebell,Split snatch unilateral com kettlebell,One-Arm Kettlebell Split Snatch,Kettlebell,one-arm-kettlebell-row,one-arm-kettlebell-row-peak.webp + one-arm-kettlebell-row-start.webp,,,
0.5,remada-unilateral-na-barra-landmine,Remada unilateral na barra landmine,One-Arm Long Bar Row,Barra,one-arm-kettlebell-row,one-arm-kettlebell-row-peak.webp + one-arm-kettlebell-row-start.webp,,,
0.5,agachamento-overhead-unilateral-com-kettlebell,Agachamento overhead unilateral com kettlebell,One-Arm Overhead Kettlebell Squats,Kettlebell,one-arm-kettlebell-row,one-arm-kettlebell-row-peak.webp + one-arm-kettlebell-row-start.webp,,,
0.5,abdominal-com-press-de-barra,Abdominal com press de barra,Press Sit-Up,Barra,jackknife-sit-up,jackknife-sit-up-peak.webp + jackknife-sit-up-start.webp,,,
0.5,flexao-com-prancha-lateral,Flexão com prancha lateral,Push Up to Side Plank,Peso corporal,push-up,push-up-peak.webp + push-up-start.webp,,,
0.5,elevacao-de-perna-em-quatro-apoios,Elevação de perna em quatro apoios,Rear Leg Raises,Peso corporal,hanging-leg-raise,hanging-leg-raise-peak.webp + hanging-leg-raise-start.webp,,,
0.5,supino-com-elasticos-reversos,Supino com elásticos reversos,Reverse Band Bench Press,Barra,bench-press,bench-press-peak.webp + bench-press-start.webp,,,
0.5,terra-sumo-com-elasticos-reversos,Terra sumô com elásticos reversos,Reverse Band Sumo Deadlift,Barra,sumo-deadlift,sumo-deadlift-peak.webp + sumo-deadlift-start.webp,,,
0.5,crucifixo-inverso-na-maquina-voador-invertido,Crucifixo inverso na máquina (voador invertido),Reverse Machine Flyes,Máquina,dumbbell-reverse-fly,dumbbell-reverse-fly-peak.webp + dumbbell-reverse-fly-start.webp,,,
0.5,supino-pegada-invertida-triceps,Supino pegada invertida (tríceps),Reverse Triceps Bench Press,Barra,bench-press,bench-press-peak.webp + bench-press-start.webp,,,
0.5,levantamento-terra-no-frame-rickshaw,Levantamento terra no frame (rickshaw),Rickshaw Deadlift,Peso corporal,deadlift,deadlift-peak.webp + deadlift-start.webp,,,
0.5,desenvolvimento-na-polia-sentado,Desenvolvimento na polia sentado,Seated Cable Shoulder Press,Cabo/Polia,seated-smith-machine-shoulder-press,seated-smith-machine-shoulder-press-peak.webp + seated-smith-machine-shoulder-press-start.webp,,,
0.5,alongamento-de-panturrilha-sentado,Alongamento de panturrilha sentado,Seated Calf Stretch,Peso corporal,seated-calf-raise,seated-calf-raise-peak.webp + seated-calf-raise-start.webp,,,
0.5,abdominal-canivete-no-banco,Abdominal canivete no banco,Seated Leg Tucks,Peso corporal,seated-leg-curl,seated-leg-curl-peak.webp + seated-leg-curl-start.webp,,,
0.5,rosca-punho-invertida-com-barra-sentado,Rosca punho invertida com barra sentado,Seated Palms-Down Barbell Wrist Curl,Barra,barbell-wrist-curl,barbell-wrist-curl-peak.webp + barbell-wrist-curl-start.webp,,,
0.5,elevacao-lateral-de-perna-em-pe,Elevação lateral de perna em pé,Side Leg Raises,Peso corporal,hanging-leg-raise,hanging-leg-raise-peak.webp + hanging-leg-raise-start.webp,,,
0.5,flexao-com-um-braco,Flexão com um braço,Single-Arm Push-Up,Peso corporal,push-up,push-up-peak.webp + push-up-start.webp,,,
0.5,agachamento-parcial-rapido-sit-squat,Agachamento parcial rápido (sit squat),Sit Squats,Peso corporal,squat,squat-peak.webp + squat-start.webp,,,
0.5,crucifixo-inverso-com-treno,Crucifixo inverso com trenó,Sled Reverse Flye,Peso corporal,dumbbell-reverse-fly,dumbbell-reverse-fly-peak.webp + dumbbell-reverse-fly-start.webp,,,
0.5,encolhimento-por-tras-no-smith,Encolhimento por trás no Smith,Smith Machine Behind the Back Shrug,Máquina,behind-the-back-barbell-shrug,behind-the-back-barbell-shrug-peak.webp + behind-the-back-barbell-shrug-start.webp,,,
0.5,puxada-de-arranco-snatch-pull,Puxada de arranco (snatch pull),Snatch Pull,Barra,snatch,snatch-peak.webp + snatch-start.webp,,,
0.5,clean-com-afastamento-split-clean,Clean com afastamento (split clean),Split Clean,Barra,clean,clean-peak.webp + clean-start.webp,,,
0.5,arranco-com-afastamento-split-snatch,Arranco com afastamento (split snatch),Split Snatch,Barra,snatch,snatch-peak.webp + snatch-start.webp,,,
0.5,agachamento-com-elasticos,Agachamento com elásticos,Squat with Bands,Barra,squat,squat-peak.webp + squat-start.webp,,,
0.5,agachamento-com-correntes,Agachamento com correntes,Squat with Chains,Barra,squat,squat-peak.webp + squat-start.webp,,,
0.5,alongamento-de-quadriceps-com-pe-elevado,Alongamento de quadríceps com pé elevado,Standing Elevated Quad Stretch,Peso corporal,standing-quad-stretch-main.webp,standing-quad-stretch-main.webp,,,
0.5,abdominal-com-anilha,Abdominal com anilha,Weighted Crunches,Anilha,crunches,crunches-peak.webp + crunches-start.webp,,,
0.5,abdominal-com-elastico-no-banco-declinado,Abdominal com elástico no banco declinado,Weighted Sit-Ups - With Bands,Peso corporal,sit-ups,sit-ups-peak.webp + sit-ups-start.webp,,,
0.5,agachamento-com-cinto-de-carga-entre-bancos,Agachamento com cinto de carga (entre bancos),Weighted Squat,Peso corporal,squat,squat-peak.webp + squat-start.webp,,,
0.5,moinho-deitado-windmill,Moinho deitado (windmill),Windmills,Peso corporal,kettlebell-windmills,kettlebell-windmills-peak.webp + kettlebell-windmills-start.webp,,,
0.5,agachamento-zercher,Agachamento Zercher,Zercher Squats,Barra,squat,squat-peak.webp + squat-start.webp,,,
